,CountyId,State,County,TotalPop
362,12086,Florida,Miami-Dade County,2702602
363,12087,Florida,Monroe County,76745
364,12089,Florida,Nassau County,78435
365,12091,Florida,Okaloosa County,197591
366,12093,Florida,Okeechobee County,40228
367,12095,Florida,Orange County,1290216
368,12097,Florida,Osceola County,325168
369,12099,Florida,Palm Beach County,1426772
370,12101,Florida,Pasco County,498136
371,12103,Florida,Pinellas County,949842
372,12105,Florida,Polk County,652256
373,12107,Florida,Putnam County,72435
374,12109,Florida,St. Johns County,226578
375,12111,Florida,St. Lucie County,298763
376,12113,Florida,Santa Rosa County,166778
377,12115,Florida,Sarasota County,404839
378,12117,Florida,Seminole County,449260
379,12119,Florida,Sumter County,116754
380,12121,Florida,Suwannee County,43814
381,12123,Florida,Taylor County,22350
382,12125,Florida,Union County,15300
383,12127,Florida,Volusia County,518660
384,12129,Florida,Wakulla County,31586
385,12131,Florida,Walton County,63457
386,12133,Florida,Washington County,24472
387,13001,Georgia,Appling County,18471
388,13003,Georgia,Atkinson County,8313
389,13005,Georgia,Bacon County,11279
390,13007,Georgia,Baker County,3251
391,13009,Georgia,Baldwin County,45527
392,13011,Georgia,Banks County,18363
393,13013,Georgia,Barrow County,75099
394,13015,Georgia,Bartow County,102623
395,13017,Georgia,Ben Hill County,17272
396,13019,Georgia,Berrien County,19014
397,13021,Georgia,Bibb County,153923
398,13023,Georgia,Bleckley County,12779
399,13025,Georgia,Brantley County,18411
400,13027,Georgia,Brooks County,15629
401,13029,Georgia,Bryan County,34883
402,13031,Georgia,Bulloch County,73742
403,13033,Georgia,Burke County,22645
404,13035,Georgia,Butts County,23556
405,13037,Georgia,Calhoun County,6503
406,13039,Georgia,Camden County,52252
407,13043,Georgia,Candler County,10894
408,13045,Georgia,Carroll County,114898
409,13047,Georgia,Catoosa County,65870
410,13049,Georgia,Charlton County,12963
411,13051,Georgia,Chatham County,285506
412,13053,Georgia,Chattahoochee County,11096
413,13055,Georgia,Chattooga County,24880
414,13057,Georgia,Cherokee County,235896
415,13059,Georgia,Clarke County,123554
416,13061,Georgia,Clay County,3024
417,13063,Georgia,Clayton County,274150
418,13065,Georgia,Clinch County,6788
419,13067,Georgia,Cobb County,739072
420,13069,Georgia,Coffee County,43048
421,13071,Georgia,Colquitt County,45890
422,13073,Georgia,Columbia County,143723
423,13075,Georgia,Cook County,17190
424,13077,Georgia,Coweta County,138015
425,13079,Georgia,Crawford County,12385
426,13081,Georgia,Crisp County,23005
427,13083,Georgia,Dade County,16282
428,13085,Georgia,Dawson County,23397
429,13087,Georgia,Decatur County,27023
430,13089,Georgia,DeKalb County,736066
431,13091,Georgia,Dodge County,21063
432,13093,Georgia,Dooly County,14053
433,13095,Georgia,Dougherty County,91522
434,13097,Georgia,Douglas County,140152
435,13099,Georgia,Early County,10405
436,13101,Georgia,Echols County,4011
437,13103,Georgia,Effingham County,57087
438,13105,Georgia,Elbert County,19288
439,13107,Georgia,Emanuel County,22502
440,13109,Georgia,Evans County,10757
441,13111,Georgia,Fannin County,24480
442,13113,Georgia,Fayette County,110306
443,13115,Georgia,Floyd County,96471
444,13117,Georgia,Forsyth County,211300
445,13119,Georgia,Franklin County,22328
446,13121,Georgia,Fulton County,1010420
447,13123,Georgia,Gilmer County,29614
448,13125,Georgia,Glascock County,3027
449,13127,Georgia,Glynn County,83467
450,13129,Georgia,Gordon County,56424
451,13131,Georgia,Grady County,25048
452,13133,Georgia,Greene County,16732
453,13135,Georgia,Gwinnett County,889954
454,13137,Georgia,Habersham County,43878
455,13139,Georgia,Hall County,192865
456,13141,Georgia,Hancock County,8667
457,13143,Georgia,Haralson County,28722
458,13145,Georgia,Harris County,33198
459,13147,Georgia,Hart County,25535
460,13149,Georgia,Heard County,11607
461,13151,Georgia,Henry County,217506
462,13153,Georgia,Houston County,150341
463,13155,Georgia,Irwin County,9278
464,13157,Georgia,Jackson County,63851
465,13159,Georgia,Jasper County,13732
466,13161,Georgia,Jeff Davis County,14999
467,13163,Georgia,Jefferson County,15954
468,13165,Georgia,Jenkins County,8929
469,13167,Georgia,Johnson County,9800
470,13169,Georgia,Jones County,28540
471,13171,Georgia,Lamar County,18282
472,13173,Georgia,Lanier County,10388
473,13175,Georgia,Laurens County,47451
474,13177,Georgia,Lee County,29216
475,13179,Georgia,Liberty County,62120
476,13181,Georgia,Lincoln County,7768
477,13183,Georgia,Long County,17857
478,13185,Georgia,Lowndes County,113941
479,13187,Georgia,Lumpkin County,31567
480,13189,Georgia,McDuffie County,21488
481,13191,Georgia,McIntosh County,14061
482,13193,Georgia,Macon County,13675
483,13195,Georgia,Madison County,28600
484,13197,Georgia,Marion County,8558
485,13199,Georgia,Meriwether County,21152
486,13201,Georgia,Miller County,5884
487,13205,Georgia,Mitchell County,22574
488,13207,Georgia,Monroe County,26795
489,13209,Georgia,Montgomery County,8962
490,13211,Georgia,Morgan County,18013
491,13213,Georgia,Murray County,39444
492,13215,Georgia,Muscogee County,198647
493,13217,Georgia,Newton County,105042
494,13219,Georgia,Oconee County,35972
495,13221,Georgia,Oglethorpe County,14654
496,13223,Georgia,Paulding County,152399
497,13225,Georgia,Peach County,27027
498,13227,Georgia,Pickens County,30343
499,13229,Georgia,Pierce County,19141
500,13231,Georgia,Pike County,17919
501,13233,Georgia,Polk County,41444
502,13235,Georgia,Pulaski County,11396
503,13237,Georgia,Putnam County,21430
504,13239,Georgia,Quitman County,2140
505,13241,Georgia,Rabun County,16354
506,13243,Georgia,Randolph County,7206
507,13245,Georgia,Richmond County,201568
508,13247,Georgia,Rockdale County,88482
509,13249,Georgia,Schley County,5168
510,13251,Georgia,Screven County,14037
511,13253,Georgia,Seminole County,8549
512,13255,Georgia,Spalding County,64192
513,13257,Georgia,Stephens County,25625
514,13259,Georgia,Stewart County,5832
515,13261,Georgia,Sumter County,30687
516,13263,Georgia,Talbot County,6423
517,13265,Georgia,Taliaferro County,1844
518,13267,Georgia,Tattnall County,25402
519,13269,Georgia,Taylor County,8267
520,13271,Georgia,Telfair County,16339
521,13273,Georgia,Terrell County,8978
522,13275,Georgia,Thomas County,44909
523,13277,Georgia,Tift County,40531
524,13279,Georgia,Toombs County,27160
525,13281,Georgia,Towns County,11173
526,13283,Georgia,Treutlen County,6752
527,13285,Georgia,Troup County,69433
528,13287,Georgia,Turner County,8036
529,13289,Georgia,Twiggs County,8323
530,13291,Georgia,Union County,22262
531,13293,Georgia,Upson County,26241
532,13295,Georgia,Walker County,68609
533,13297,Georgia,Walton County,88695
534,13299,Georgia,Ware County,35688
535,13301,Georgia,Warren County,5410
536,13303,Georgia,Washington County,20506
537,13305,Georgia,Wayne County,29833
538,13307,Georgia,Webster County,2627
539,13309,Georgia,Wheeler County,7952
540,13311,Georgia,White County,28509
541,13313,Georgia,Whitfield County,103963
542,13315,Georgia,Wilcox County,8896
543,13317,Georgia,Wilkes County,9905
544,13319,Georgia,Wilkinson County,9147
545,13321,Georgia,Worth County,20809
546,15001,Hawaii,Hawaii County,196325
547,15003,Hawaii,Honolulu County,990060
548,15005,Hawaii,Kalawao County,86
549,15007,Hawaii,Kauai County,71093
550,15009,Hawaii,Maui County,164094
551,16001,Idaho,Ada County,435117
552,16003,Idaho,Adams County,3946
553,16005,Idaho,Bannock County,84113
554,16007,Idaho,Bear Lake County,5942
555,16009,Idaho,Benewah County,9050
556,16011,Idaho,Bingham County,45369
557,16013,Idaho,Blaine County,21583
558,16015,Idaho,Boise County,6968
559,16017,Idaho,Bonner County,41855
560,16019,Idaho,Bonneville County,110404
561,16021,Idaho,Boundary County,11323
562,16023,Idaho,Butte County,2613
563,16025,Idaho,Camas County,886
564,16027,Idaho,Canyon County,207027
565,16029,Idaho,Caribou County,6862
566,16031,Idaho,Cassia County,23472
567,16033,Idaho,Clark County,1055
568,16035,Idaho,Clearwater County,8533
569,16037,Idaho,Custer County,4141
570,16039,Idaho,Elmore County,26232
571,16041,Idaho,Franklin County,13120
572,16043,Idaho,Fremont County,12889
