State,County,TotalPop,Men,Women,VotingAgeCitizen,Income,Poverty,Pub_Transp,WorkAtHome,MeanCommute,Unemployment,Prv_Transp,Office_Jobs,NonOffice_Jobs,Mode_Severity,Mode_Weather_Condition,Day_Accidents,Total_Acc
Michigan,Mason,28800,14284,14516,22610,45524,4608,86,1238,17.6,2188,27475,19692,6892,3,Clear,3.0,5
Montana,Jefferson,11625,5955,5670,9096,64911,1150,11,639,20.3,662,10974,8649,2313,1,Clear,6.0,8
Indiana,Warrick,61581,30490,31091,45709,66080,4741,184,1601,23.6,2093,59856,44794,14693,3,Mostly Cloudy,4.0,5
Tennessee,Hawkins,56402,27525,28877,44330,38728,10885,338,1240,25.3,4173,54822,34523,17705,3,Clear,8.0,10
Virginia,Gloucester,37035,18278,18757,29301,63881,3222,148,1407,32.9,1222,35479,25463,10349,1,Clear,5.0,5
Mississippi,Warren,47510,22609,24901,35681,41635,11259,47,617,18.5,3753,46844,33080,10676,3,Overcast,2.0,5
Kansas,Wabaunsee,6918,3492,3426,5188,58947,421,27,463,27.0,297,6426,4965,1655,1,Clear,4.0,4
Oregon,Gilliam,1910,962,948,1454,39831,189,0,141,17.5,143,1768,1180,586,1,Clear,2.0,2
Colorado,Mesa,148798,73478,75320,113269,51971,23807,595,9225,20.2,11903,138977,103903,32991,3,Clear,11.0,16
Tennessee,Coffee,54074,26397,27677,40175,46614,8219,0,1946,23.1,3136,52073,32702,18286,1,Mostly Cloudy,4.0,8
Florida,Marion,343778,164984,178794,270592,41964,60504,1375,22001,25.4,30940,320401,249644,63193,1,Scattered Clouds,39.0,55
North Carolina,Haywood,59854,29008,30846,48213,45538,9935,299,1855,22.8,3052,57639,41749,15052,1,Clear,17.0,22
Georgia,Jefferson,15954,7691,8263,11916,29640,4291,31,446,25.8,1356,15475,8598,6014,3,Fair,2.0,5
Louisiana,St. James,21485,10340,11145,16386,52055,3351,128,257,27.0,1761,21119,12741,7002,1,Mostly Cloudy,3.0,5
Minnesota,Cottonwood,11437,5660,5777,8312,50524,1784,80,674,16.8,583,10682,6870,3983,2,Clear,0.0,1
Virginia,Prince George,37704,20643,17061,28884,68461,4637,150,1168,25.7,3204,36384,26634,7831,1,Scattered Clouds,9.0,13
Pennsylvania,Clearfield,80539,41950,38589,63655,45188,12322,161,1932,24.4,6604,78444,49906,23954,1,Overcast,71.0,96
North Carolina,Orange,141812,67598,74214,103638,65522,19853,10210,12054,22.2,7374,119689,120187,14115,1,Fair,22.0,32
Kansas,Labette,20553,10142,10411,15612,45706,3658,61,657,15.8,965,19833,13789,5798,3,Partly Cloudy,1.0,1
Wisconsin,Kenosha,167886,83033,84853,123236,57269,24343,1678,4868,25.9,13095,161170,115164,39471,1,Clear,13.0,20
Alabama,Macon,19358,8933,10425,15760,32308,5013,193,309,22.5,2806,18874,12066,4502,1,Clear,3.0,4
Oklahoma,Carter,48407,23449,24958,35218,47754,7938,242,1452,19.6,3098,46712,31897,13411,3,Clear,0.0,2
New York,Genesee,58537,29199,29338,45954,54033,7492,234,1521,22.2,2985,56780,39608,15943,1,Mostly Cloudy,6.0,12
Wisconsin,Outagamie,183288,91418,91870,135990,61523,15762,1466,6964,19.8,5681,175040,128942,48664,1,Scattered Clouds,25.0,31
Nebraska,Adams,31564,15981,15583,23151,51721,3913,220,1230,15.3,1325,30112,22134,8104,3,Clear,2.0,2
Texas,Nueces,358484,176836,181648,252113,53317,59866,4660,8245,19.6,21150,345578,253675,83658,2,Mostly Cloudy,2.0,2
Missouri,Cooper,17620,9267,8353,13678,46547,1973,35,651,24.0,881,16950,12604,4134,1,Clear,2.0,2
Colorado,Gunnison,16215,8795,7420,13020,52651,2286,486,632,14.2,1183,15079,11334,3697,3,Clear,2.0,6
North Carolina,McDowell,45069,22706,22363,34523,38776,8698,0,1667,23.0,3335,43401,27001,14732,3,Mostly Cloudy,5.0,5
Missouri,Callaway,44793,22801,21992,34855,53180,5509,44,1567,23.5,1926,43180,31850,11059,1,Clear,3.0,4
Idaho,Teton,10776,5692,5084,7158,55986,894,96,894,27.9,668,9773,7641,2466,1,Clear,1.0,1
New Mexico,Sandoval,138815,67939,70876,102231,60345,20405,1526,7912,28.4,11105,129375,106127,21582,3,Clear,1.0,3
Pennsylvania,Beaver,168161,81606,86555,134353,53981,18161,3363,6726,25.6,9417,158407,121597,37146,3,Scattered Clouds,13.0,18
Wisconsin,St. Croix,87142,43468,43674,63960,77768,4182,435,5315,27.9,2875,81477,64464,19802,1,Clear,8.0,9
Louisiana,Beauregard,36598,18631,17967,26980,47350,6331,109,585,30.1,2708,35866,22570,11353,3,Clear,0.0,2
Ohio,Hocking,28547,14122,14425,21944,48073,4053,199,1027,32.0,2112,27319,18742,7692,3,Overcast,6.0,7
Illinois,Lee,34670,18375,16295,27211,58319,4091,173,1456,21.5,2045,33075,23555,9069,2,Clear,2.0,3
Oklahoma,Sequoyah,41364,20451,20913,31207,37455,10175,124,910,25.4,3598,40329,26587,11178,3,Clear,1.0,1
South Carolina,Hampton,20066,10350,9716,15308,32147,3692,300,280,31.7,1946,19504,12520,5617,1,Scattered Clouds,0.0,2
Ohio,Richland,121533,61682,59851,94439,44138,18959,1458,3767,22.2,9114,116428,79705,32826,3,Clear,7.0,12
Texas,Colorado,20913,10487,10426,14875,50241,2509,230,731,20.5,606,19951,14377,5929,2,Drizzle,2.0,2
Florida,Manatee,363542,175761,187781,269879,53408,48714,2908,27265,25.4,23993,333004,274016,65532,1,Clear,100.0,120
West Virginia,Jackson,29123,14440,14683,22698,41731,4281,58,611,29.9,1339,28424,19893,7918,1,Clear,10.0,17
Indiana,Gibson,33596,16841,16755,25458,51149,3594,67,772,21.5,1175,32756,19841,12579,3,Clear,7.0,7
Virginia,King and Queen,7052,3524,3528,5590,51495,1100,14,401,34.6,310,6635,4422,2312,2,Overcast,2.0,2
Indiana,Boone,63013,31211,31802,44927,75591,3843,63,3402,24.9,2079,59547,49600,11394,1,Clear,54.0,63
Pennsylvania,Chester,514652,253509,261143,369972,92417,35510,14410,36025,27.9,24703,464730,417926,72022,1,Cloudy,79.0,105
Texas,Pecos,15804,9058,6746,10542,50543,1817,94,489,19.2,584,15203,9451,5768,2,Clear,3.0,5
Iowa,Adair,7192,3552,3640,5572,49477,683,21,445,22.3,215,6724,4542,2434,1,Overcast,7.0,10
Kentucky,Mercer,21378,10652,10726,16316,47574,3570,42,1026,26.4,1945,20309,13156,6276,1,Scattered Clouds,1.0,1
Virginia,Scott,22290,11191,11099,18018,38725,3945,22,468,28.2,1381,21821,13799,7109,1,Mostly Cloudy,1.0,1
North Carolina,Montgomery,27445,13584,13861,19521,38254,5736,54,713,24.0,1619,26676,15443,10382,3,Mostly Cloudy,3.0,3
Texas,Harrison,66606,32517,34089,47243,48644,11922,0,2531,20.9,4795,64074,42340,19470,1,Overcast,1.0,1
Tennessee,Warren,40210,19846,20364,29123,36765,8685,0,1487,24.5,2734,38762,23310,14203,1,Clear,2.0,2
Virginia,Amelia,12802,6644,6158,10049,58535,1664,140,345,38.0,422,12302,8888,3503,1,Clear,4.0,5
Minnesota,Washington,250979,124207,126772,182534,89598,12548,5772,12799,25.8,8784,232406,202959,39477,1,Clear,91.0,129
Iowa,Worth,7502,3734,3768,5840,50880,757,37,285,20.5,465,7171,4538,2505,3,Overcast,0.0,4
Tennessee,Williamson,212161,103812,108349,146332,103543,9759,636,19094,27.3,7637,192217,184480,19838,1,Mostly Cloudy,28.0,35
Oklahoma,McClain,37919,18800,19119,27438,62081,3602,0,2161,26.7,1440,35757,27359,9119,3,Clear,9.0,11
